,workerId,treatment,idpAgreement,taskId,acc,globalId,decision,selfPrediction,finalPrediction,selfCorrect,finalCorrect,agreement,prediction,finalAgreement,mlCorrect,switch
220,90,1,80,1,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
221,97,2,50,10,80,132,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
222,239,2,50,16,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
223,357,2,50,26,80,4688,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
224,118,0,50,10,50,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
225,327,3,80,13,80,3792,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
226,171,2,50,31,80,5272,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
227,44,1,80,1,50,132,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
228,427,2,50,9,80,3998,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
229,136,1,80,10,50,1965,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
230,322,1,80,22,50,2162,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
231,290,2,50,9,80,2487,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
232,4,1,80,27,50,5272,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
233,306,1,80,6,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
234,439,3,80,3,80,6577,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
235,302,3,80,21,80,370,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
236,194,2,50,4,80,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
237,205,2,50,28,80,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
238,137,0,50,25,50,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
239,41,1,80,2,50,3152,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
240,422,0,50,23,50,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
241,72,3,80,23,80,1004,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
242,248,2,50,21,80,3996,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
243,145,0,50,24,50,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
244,463,3,80,9,80,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
245,326,3,80,16,80,6577,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
246,181,3,80,22,80,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
247,183,1,80,30,50,2506,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
248,136,1,80,29,50,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
249,0,2,50,3,80,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
